dir,last_modified
/home/pierce/fetch/solution_2003704,2017-05-13 00:15:24.015277000 +0000
/home/pierce/fetch/solution_2002346,2016-10-21 21:57:50.191316000 +0000
/home/pierce/fetch/solution_2003240,2017-03-17 01:54:18.951277000 +0000
/home/pierce/fetch/solution_2002912,2016-11-04 23:08:21.883316000 +0000
/home/pierce/fetch/solution_996084,2016-10-21 22:21:29.583316000 +0000
/home/pierce/fetch/solution_2000785,2016-10-21 19:47:16.371316000 +0000
/home/pierce/fetch/solution_2003707,2017-05-16 00:19:27.943277000 +0000
/home/pierce/fetch/solution_2002771,2016-10-08 02:24:12.271316000 +0000
/home/pierce/fetch/solution_2001291,2016-10-21 20:24:40.963316000 +0000
/home/pierce/fetch/solution_997759,2016-10-22 02:05:40.499316000 +0000
/home/pierce/fetch/solution_997138,2016-10-22 01:31:28.339316000 +0000
/home/pierce/fetch/solution_997111,2016-10-22 01:30:50.731316000 +0000
/home/pierce/fetch/solution_2003996,2017-08-30 23:05:40.859277000 +0000
/home/pierce/fetch/solution_997173,2016-10-22 01:31:53.927316000 +0000
/home/pierce/fetch/solution_998075,2016-10-22 02:16:22.831316000 +0000
/home/pierce/fetch/solution_2003846,2017-06-29 18:36:20.719277000 +0000
/home/pierce/fetch/solution_2002126,2016-10-21 21:33:49.539316000 +0000
/home/pierce/fetch/solution_2002294,2016-10-21 21:50:11.431316000 +0000
/home/pierce/fetch/solution_2001066,2016-10-21 20:05:09.395316000 +0000
/home/pierce/fetch/solution_1998729,2016-10-21 18:54:32.091316000 +0000
/home/pierce/fetch/solution_2003011,2017-03-14 01:25:40.219277000 +0000
/home/pierce/fetch/solution_997791,2016-10-22 02:06:23.727316000 +0000
/home/pierce/fetch/solution_1998927,2016-10-21 19:03:13.043316000 +0000
/home/pierce/fetch/solution_2002102,2016-10-21 21:31:22.979316000 +0000
/home/pierce/fetch/solution_2000399,2016-10-21 19:17:17.943316000 +0000
/home/pierce/fetch/solution_998257,2016-10-22 02:24:07.347316000 +0000
/home/pierce/fetch/solution_1998613,2016-10-21 18:52:08.203316000 +0000
/home/pierce/fetch/solution_2000728,2016-10-21 19:41:03.135316000 +0000
/home/pierce/fetch/solution_2000687,2016-10-21 19:39:17.675316000 +0000
/home/pierce/fetch/solution_2002460,2016-10-21 22:14:11.703316000 +0000
/home/pierce/fetch/solution_2000471,2016-10-21 19:24:04.159316000 +0000
/home/pierce/fetch/solution_2000696,2016-10-21 19:39:32.111316000 +0000
/home/pierce/fetch/solution_997203,2016-10-22 01:32:40.171316000 +0000
/home/pierce/fetch/solution_2002824,2016-10-25 00:03:11.895316000 +0000
/home/pierce/fetch/solution_2004021,2017-08-18 23:01:01.691277000 +0000
/home/pierce/fetch/solution_997508,2016-10-22 01:41:58.359316000 +0000
/home/pierce/fetch/solution_997738,2016-10-22 02:05:20.439316000 +0000
/home/pierce/fetch/solution_1998690,2016-10-21 18:53:34.091316000 +0000
/home/pierce/fetch/solution_2000902,2016-10-21 19:56:01.003316000 +0000
/home/pierce/fetch/solution_2002522,2016-08-12 02:30:06.123316000 +0000
/home/pierce/fetch/solution_2002682,2016-09-09 00:48:41.695316000 +0000
/home/pierce/fetch/solution_1998509,2016-10-21 18:50:04.895316000 +0000
/home/pierce/fetch/solution_2003303,2017-03-18 12:18:50.367277000 +0000
/home/pierce/fetch/solution_997461,2016-10-22 01:41:12.307316000 +0000
/home/pierce/fetch/solution_1998914,2016-10-21 19:01:33.059316000 +0000
/home/pierce/fetch/solution_2001366,2016-10-21 20:35:59.095316000 +0000
/home/pierce/fetch/solution_1998423,2016-10-21 18:48:35.711316000 +0000
/home/pierce/fetch/solution_2002515,2016-08-12 00:05:21.879316000 +0000
/home/pierce/fetch/solution_2003841,2017-06-27 23:46:55.059277000 +0000
/home/pierce/fetch/solution_998003,2016-10-22 02:14:00.979316000 +0000
/home/pierce/fetch/solution_2002469,2016-10-21 22:16:16.347316000 +0000
/home/pierce/fetch/solution_1998728,2016-10-21 18:54:09.455316000 +0000
/home/pierce/fetch/solution_998158,2016-10-22 02:20:04.467316000 +0000
/home/pierce/fetch/solution_1998909,2016-10-21 19:01:03.831316000 +0000
/home/pierce/fetch/solution_2003648,2017-05-01 00:31:44.471277000 +0000
/home/pierce/fetch/solution_998231,2016-10-22 02:22:53.783316000 +0000
/home/pierce/fetch/solution_2000208,2016-10-21 19:08:13.011316000 +0000
/home/pierce/fetch/solution_998406,2016-10-22 02:30:49.071316000 +0000
/home/pierce/fetch/solution_2003976,2017-08-22 23:36:05.627277000 +0000
/home/pierce/fetch/solution_2000512,2016-10-21 19:25:44.539316000 +0000
/home/pierce/fetch/solution_998245,2016-10-22 02:23:10.803316000 +0000
/home/pierce/fetch/solution_996055,2016-10-21 22:19:19.211316000 +0000
/home/pierce/fetch/solution_2001453,2016-10-21 20:39:17.219316000 +0000
/home/pierce/fetch/solution_997967,2016-10-22 02:13:10.639316000 +0000
